                            Time;          Lat(deg);          Lon(deg);           Alt(km)
  20 Jun 2018 16:00:00.000000000;      4.347224e+01;     -8.055068e+01;      8.000000e-01
  20 Jun 2018 16:00:00.100000000;      4.347225e+01;     -8.055066e+01;      8.000000e-01
  20 Jun 2018 16:00:00.200000000;      4.347226e+01;     -8.055064e+01;      8.000000e-01
  20 Jun 2018 16:00:00.300000000;      4.347227e+01;     -8.055062e+01;      8.000000e-01
  20 Jun 2018 16:00:00.400000000;      4.347228e+01;     -8.055060e+01;      8.000000e-01
  20 Jun 2018 16:00:00.500000000;      4.347229e+01;     -8.055059e+01;      8.000000e-01
  20 Jun 2018 16:00:00.600000000;      4.347230e+01;     -8.055057e+01;      8.000000e-01
  20 Jun 2018 16:00:00.700000000;      4.347231e+01;     -8.055055e+01;      8.000000e-01
  20 Jun 2018 16:00:00.800000000;      4.347232e+01;     -8.055053e+01;      8.000000e-01
  20 Jun 2018 16:00:00.900000000;      4.347233e+01;     -8.055051e+01;      8.000000e-01
  20 Jun 2018 16:00:01.000000000;      4.347234e+01;     -8.055050e+01;      8.000000e-01
  20 Jun 2018 16:00:01.100000000;      4.347235e+01;     -8.055048e+01;      8.000000e-01
  20 Jun 2018 16:00:01.200000000;      4.347236e+01;     -8.055046e+01;      8.000000e-01
  20 Jun 2018 16:00:01.300000000;      4.347237e+01;     -8.055044e+01;      8.000000e-01
  20 Jun 2018 16:00:01.400000000;      4.347238e+01;     -8.055042e+01;      8.000000e-01
  20 Jun 2018 16:00:01.500000000;      4.347239e+01;     -8.055041e+01;      8.000000e-01
  20 Jun 2018 16:00:01.600000000;      4.347240e+01;     -8.055039e+01;      8.000000e-01
  20 Jun 2018 16:00:01.700000000;      4.347241e+01;     -8.055037e+01;      8.000000e-01
  20 Jun 2018 16:00:01.800000000;      4.347242e+01;     -8.055035e+01;      8.000000e-01
  20 Jun 2018 16:00:01.900000000;      4.347242e+01;     -8.055034e+01;      8.000000e-01
  20 Jun 2018 16:00:02.000000000;      4.347243e+01;     -8.055032e+01;      8.000000e-01
  20 Jun 2018 16:00:02.100000000;      4.347244e+01;     -8.055030e+01;      8.000000e-01
  20 Jun 2018 16:00:02.200000000;      4.347245e+01;     -8.055028e+01;      8.000000e-01
  20 Jun 2018 16:00:02.300000000;      4.347246e+01;     -8.055026e+01;      8.000000e-01
  20 Jun 2018 16:00:02.400000000;      4.347247e+01;     -8.055025e+01;      8.000000e-01
  20 Jun 2018 16:00:02.500000000;      4.347248e+01;     -8.055023e+01;      8.000000e-01
  20 Jun 2018 16:00:02.600000000;      4.347249e+01;     -8.055021e+01;      8.000000e-01
  20 Jun 2018 16:00:02.700000000;      4.347250e+01;     -8.055019e+01;      8.000000e-01
  20 Jun 2018 16:00:02.800000000;      4.347251e+01;     -8.055017e+01;      8.000000e-01
