                            Time;          Lat(deg);          Lon(deg);           Alt(km)
  20 Jun 2018 16:00:00.000000000;      4.347700e+01;     -8.054195e+01;      8.000000e-01
  20 Jun 2018 16:00:00.100000000;      4.347699e+01;     -8.054193e+01;      8.000000e-01
  20 Jun 2018 16:00:00.200000000;      4.347698e+01;     -8.054191e+01;      8.000000e-01
  20 Jun 2018 16:00:00.300000000;      4.347698e+01;     -8.054189e+01;      8.000000e-01
  20 Jun 2018 16:00:00.400000000;      4.347697e+01;     -8.054187e+01;      8.000000e-01
  20 Jun 2018 16:00:00.500000000;      4.347696e+01;     -8.054185e+01;      8.000000e-01
  20 Jun 2018 16:00:00.600000000;      4.347696e+01;     -8.054183e+01;      8.000000e-01
  20 Jun 2018 16:00:00.700000000;      4.347695e+01;     -8.054181e+01;      8.000000e-01
  20 Jun 2018 16:00:00.800000000;      4.347694e+01;     -8.054179e+01;      8.000000e-01
  20 Jun 2018 16:00:00.900000000;      4.347694e+01;     -8.054177e+01;      8.000000e-01
  20 Jun 2018 16:00:01.000000000;      4.347693e+01;     -8.054175e+01;      8.000000e-01
  20 Jun 2018 16:00:01.100000000;      4.347692e+01;     -8.054173e+01;      8.000000e-01
  20 Jun 2018 16:00:01.200000000;      4.347692e+01;     -8.054171e+01;      8.000000e-01
  20 Jun 2018 16:00:01.300000000;      4.347691e+01;     -8.054169e+01;      8.000000e-01
  20 Jun 2018 16:00:01.400000000;      4.347690e+01;     -8.054167e+01;      8.000000e-01
  20 Jun 2018 16:00:01.500000000;      4.347690e+01;     -8.054165e+01;      8.000000e-01
  20 Jun 2018 16:00:01.600000000;      4.347689e+01;     -8.054163e+01;      8.000000e-01
  20 Jun 2018 16:00:01.700000000;      4.347689e+01;     -8.054161e+01;      8.000000e-01
  20 Jun 2018 16:00:01.800000000;      4.347688e+01;     -8.054159e+01;      8.000000e-01
  20 Jun 2018 16:00:01.900000000;      4.347687e+01;     -8.054157e+01;      8.000000e-01
  20 Jun 2018 16:00:02.000000000;      4.347687e+01;     -8.054155e+01;      8.000000e-01
  20 Jun 2018 16:00:02.100000000;      4.347686e+01;     -8.054153e+01;      8.000000e-01
  20 Jun 2018 16:00:02.200000000;      4.347685e+01;     -8.054151e+01;      8.000000e-01
  20 Jun 2018 16:00:02.300000000;      4.347685e+01;     -8.054149e+01;      8.000000e-01
  20 Jun 2018 16:00:02.400000000;      4.347684e+01;     -8.054147e+01;      8.000000e-01
  20 Jun 2018 16:00:02.500000000;      4.347683e+01;     -8.054145e+01;      8.000000e-01
  20 Jun 2018 16:00:02.600000000;      4.347683e+01;     -8.054142e+01;      8.000000e-01
  20 Jun 2018 16:00:02.700000000;      4.347682e+01;     -8.054140e+01;      8.000000e-01
  20 Jun 2018 16:00:02.800000000;      4.347681e+01;     -8.054138e+01;      8.000000e-01
  20 Jun 2018 16:00:02.900000000;      4.347681e+01;     -8.054136e+01;      8.000000e-01
  20 Jun 2018 16:00:03.000000000;      4.347680e+01;     -8.054134e+01;      8.000000e-01
  20 Jun 2018 16:00:03.100000000;      4.347679e+01;     -8.054132e+01;      8.000000e-01
  20 Jun 2018 16:00:03.200000000;      4.347679e+01;     -8.054130e+01;      8.000000e-01
  20 Jun 2018 16:00:03.300000000;      4.347678e+01;     -8.054128e+01;      8.000000e-01
  20 Jun 2018 16:00:03.400000000;      4.347677e+01;     -8.054126e+01;      8.000000e-01
  20 Jun 2018 16:00:03.500000000;      4.347677e+01;     -8.054124e+01;      8.000000e-01
  20 Jun 2018 16:00:03.600000000;      4.347676e+01;     -8.054122e+01;      8.000000e-01
  20 Jun 2018 16:00:03.700000000;      4.347675e+01;     -8.054120e+01;      8.000000e-01
  20 Jun 2018 16:00:03.800000000;      4.347675e+01;     -8.054118e+01;      8.000000e-01
  20 Jun 2018 16:00:03.900000000;      4.347674e+01;     -8.054116e+01;      8.000000e-01
  20 Jun 2018 16:00:04.000000000;      4.347674e+01;     -8.054114e+01;      8.000000e-01
  20 Jun 2018 16:00:04.100000000;      4.347673e+01;     -8.054112e+01;      8.000000e-01
  20 Jun 2018 16:00:04.200000000;      4.347672e+01;     -8.054110e+01;      8.000000e-01
  20 Jun 2018 16:00:04.300000000;      4.347672e+01;     -8.054108e+01;      8.000000e-01
  20 Jun 2018 16:00:04.400000000;      4.347671e+01;     -8.054106e+01;      8.000000e-01
  20 Jun 2018 16:00:04.500000000;      4.347670e+01;     -8.054104e+01;      8.000000e-01
  20 Jun 2018 16:00:04.600000000;      4.347670e+01;     -8.054102e+01;      8.000000e-01
  20 Jun 2018 16:00:04.700000000;      4.347669e+01;     -8.054100e+01;      8.000000e-01
  20 Jun 2018 16:00:04.800000000;      4.347668e+01;     -8.054098e+01;      8.000000e-01
  20 Jun 2018 16:00:04.900000000;      4.347668e+01;     -8.054096e+01;      8.000000e-01
  20 Jun 2018 16:00:05.000000000;      4.347667e+01;     -8.054094e+01;      8.000000e-01
  20 Jun 2018 16:00:05.100000000;      4.347666e+01;     -8.054092e+01;      8.000000e-01
  20 Jun 2018 16:00:05.200000000;      4.347666e+01;     -8.054089e+01;      8.000000e-01
  20 Jun 2018 16:00:05.300000000;      4.347665e+01;     -8.054087e+01;      8.000000e-01
  20 Jun 2018 16:00:05.400000000;      4.347664e+01;     -8.054085e+01;      8.000000e-01
  20 Jun 2018 16:00:05.500000000;      4.347664e+01;     -8.054083e+01;      8.000000e-01
  20 Jun 2018 16:00:05.600000000;      4.347663e+01;     -8.054081e+01;      8.000000e-01
  20 Jun 2018 16:00:05.700000000;      4.347662e+01;     -8.054079e+01;      8.000000e-01
  20 Jun 2018 16:00:05.800000000;      4.347662e+01;     -8.054077e+01;      8.000000e-01
  20 Jun 2018 16:00:05.900000000;      4.347661e+01;     -8.054075e+01;      8.000000e-01
  20 Jun 2018 16:00:06.000000000;      4.347660e+01;     -8.054073e+01;      8.000000e-01
  20 Jun 2018 16:00:06.100000000;      4.347660e+01;     -8.054071e+01;      8.000000e-01
  20 Jun 2018 16:00:06.200000000;      4.347659e+01;     -8.054069e+01;      8.000000e-01
  20 Jun 2018 16:00:06.300000000;      4.347658e+01;     -8.054067e+01;      8.000000e-01
  20 Jun 2018 16:00:06.400000000;      4.347658e+01;     -8.054065e+01;      8.000000e-01
  20 Jun 2018 16:00:06.500000000;      4.347657e+01;     -8.054063e+01;      8.000000e-01
  20 Jun 2018 16:00:06.600000000;      4.347656e+01;     -8.054061e+01;      8.000000e-01
  20 Jun 2018 16:00:06.700000000;      4.347655e+01;     -8.054059e+01;      8.000000e-01
  20 Jun 2018 16:00:06.800000000;      4.347654e+01;     -8.054057e+01;      8.000000e-01
  20 Jun 2018 16:00:06.900000000;      4.347654e+01;     -8.054056e+01;      8.000000e-01
  20 Jun 2018 16:00:07.000000000;      4.347653e+01;     -8.054054e+01;      8.000000e-01
  20 Jun 2018 16:00:07.100000000;      4.347652e+01;     -8.054052e+01;      8.000000e-01
  20 Jun 2018 16:00:07.200000000;      4.347651e+01;     -8.054050e+01;      8.000000e-01
  20 Jun 2018 16:00:07.300000000;      4.347650e+01;     -8.054048e+01;      8.000000e-01
  20 Jun 2018 16:00:07.400000000;      4.347649e+01;     -8.054046e+01;      8.000000e-01
